loss_generator,loss_discriminator
0.038451,0.386213
0.042783,0.912960
0.040660,0.032003
0.044611,0.010006
0.038376,0.646293
0.041512,0.228607
0.042635,0.025535
0.039073,0.284641
0.041705,0.033250
0.038545,0.052616
0.036733,1.141626
0.042879,0.131749
0.044140,0.155070
0.039730,0.947867
0.050669,0.018598
0.041954,0.051365
0.046024,0.030898
0.041608,0.121876
0.040851,0.089432
0.034783,3.321241
0.043431,0.310997
0.039413,2.216332
0.043597,0.167604
0.044081,0.148103
0.048489,0.047151
0.045606,0.136241
0.037209,0.761249
0.040755,0.923254
0.047953,0.017260
0.058710,0.020099
0.033779,0.112253
0.043939,0.391112
0.039051,0.402683
0.041126,0.462895
0.043139,0.138385
0.037187,0.533939
0.054541,0.025942
0.054214,0.004725
0.044813,0.066319
0.040061,2.576410
0.040440,0.037972
0.032960,0.234197
0.038421,0.762293
0.043654,0.753419
0.051991,0.040891
0.051255,0.128720
0.048910,0.013418
0.046506,0.022043
0.042806,0.093306
0.043838,0.474320
0.046716,0.302081
0.047551,0.638173
0.046594,0.008835
0.041267,0.006252
0.041268,0.006890
0.037410,0.021103
0.043034,0.028577
0.045136,0.091186
0.038931,0.502440
0.047059,0.618427
0.040724,0.043823
0.052516,0.017232
0.043544,0.021795
0.042208,0.042415
0.047153,0.046830
0.043588,0.152269
0.049197,0.026202
0.049300,0.055062
0.045941,0.412036
0.036988,2.841472
0.043483,0.046342
0.041487,0.183918
0.043566,1.219991
0.040406,0.722663
0.033375,0.548207
0.042670,0.016187
0.045045,0.025147
0.044590,0.187822
0.046661,0.025154
0.055436,0.002745
0.050050,0.116077
0.047363,0.505536
0.047721,0.084508
0.039577,1.520568
0.037023,0.475269
0.032966,0.013758
0.037096,0.299009
0.034109,1.394203
0.042578,1.997653
0.045453,0.348110
0.042041,0.263657
0.040590,0.178520
0.037780,2.255966
0.046835,0.109727
0.048830,0.006476
0.048000,0.060451
0.040159,0.040402
0.039452,0.017073
0.043969,0.003279
0.047532,0.005407
0.042639,0.002879
0.044706,0.004363
0.037779,0.014121
0.041241,0.015694
0.046889,0.025971
0.032031,0.027246
0.033249,0.018040
0.035973,0.035474
0.040277,0.142017
0.034218,0.052079
0.045258,0.013970
0.035384,0.009556
0.043742,0.005025
0.040431,0.007417
0.040813,0.003891
0.039137,0.008902
0.039654,0.005328
0.043203,0.033944
0.041401,0.010571
0.037809,0.015169
0.038325,0.012179
0.050128,0.004398
0.047155,0.007922
0.037442,0.016340
0.037401,0.013766
0.034199,0.036531
0.039251,0.015453
0.047760,0.010942
0.039189,0.011187
0.034339,0.012519
0.042185,0.005018
0.036986,0.073123
0.041564,0.027787
0.044378,0.028131
0.040774,0.036936
0.033601,0.346644
0.037319,0.071427
0.034830,0.057969
0.037549,0.096874
0.040176,1.565191
0.042557,0.259694
0.055583,0.072456
0.049354,0.028679
0.044145,1.002998
0.045623,1.458554
0.035573,2.282753
0.043680,0.062133
0.043962,4.260723
0.036592,2.795657
0.042336,0.601214
0.044545,0.304235
0.041581,0.014904
0.043110,0.167054
0.034745,1.524671
0.043583,0.025330
0.037091,0.126975
0.047478,0.029563
0.039776,0.063035
0.033344,0.205736
0.040074,0.019508
0.037081,0.024850
0.037206,0.074396
0.036119,0.083926
0.034305,0.045945
0.039551,0.054337
0.040262,0.541849
0.034697,0.046253
0.035559,0.028340
0.029796,0.224054
0.044941,0.009345
